COUNT,ID,TILENAME,RA_CENT,DEC_CENT,RAC1,RAC2,RAC3,RAC4,DECC1,DECC2,DECC3,DECC4,RACMIN,RACMAX,DECCMIN,RA_SIZE,DEC_SIZE,DECCMAX,URAMIN,URAMAX,UDECMIN,UDECMAX
73565,118168,DES0212-4331,33.159751,-43.530556,33.666583,32.652919,32.65902,33.660482,-43.894672,-43.894672,-43.164227,-43.164227,32.652919,33.666583,-43.894672,1.013664,0.730444,-43.164227,32.667418,33.652083,-43.8875,-43.173611
70088,125053,DES2203-5914,330.826936,-59.236111,331.548684,330.105187,330.12048,331.533391,-59.599363,-59.599363,-58.868947,-58.868947,330.105187,331.548684,-59.599363,1.443497,0.730416,-58.868947,330.129099,331.524772,-59.593056,-58.879167
74949,123709,DES0004-5540,1.070709,-55.666667,1.724365,0.417053,0.429141,1.712278,-56.030175,-56.030175,-55.299749,-55.299749,0.417053,1.724365,-56.030175,1.307312,0.730426,-55.299749,0.437836,1.703582,-56.023611,-55.309722
72274,126544,DES0057-6331,14.263735,-63.519444,15.093416,13.434054,13.455017,15.072453,-63.882306,-63.882306,-63.151908,-63.151908,13.434054,15.093416,-63.882306,1.659362,0.730398,-63.151908,13.463221,15.064249,-63.876389,-63.1625
65112,104064,DES0113-1958,18.301621,-19.972222,18.691131,17.912112,17.913912,18.68933,-20.337027,-20.337027,-19.606571,-19.606571,17.912112,18.691131,-20.337027,0.779019,0.730456,-19.606571,17.921836,18.681407,-20.329167,-19.615278
77665,121545,DES2115-5040,318.928611,-50.669444,319.509388,318.347834,318.356801,319.500421,-51.033241,-51.033241,-50.302806,-50.302806,318.347834,319.509388,-51.033241,1.161553,0.730436,-50.302806,318.365424,319.491798,-51.026389,-50.3125
73657,110465,DES0058-2958,14.710199,-29.966667,15.13335,14.287049,14.290148,15.130251,-30.331222,-30.331222,-29.600769,-29.600769,14.287049,15.13335,-30.331222,0.846301,0.730453,-29.600769,14.298174,15.122225,-30.323611,-29.609722
47460,86681,DES0121+0500,20.344764,5.013889,20.711198,19.97833,19.97792,20.711608,4.648558,4.648558,5.379016,5.379016,19.97792,20.711608,4.648558,0.733689,0.730458,5.379016,19.986448,20.70308,4.656944,5.370833
77449,120651,DES0357-4831,59.447141,-48.527778,60.00264,58.891642,58.899597,59.994685,-48.89168,-48.89168,-48.161241,-48.161241,58.891642,60.00264,-48.89168,1.110998,0.730439,-48.161241,58.908159,59.986123,-48.884722,-48.170833
65340,122553,DES0221-5248,35.468712,-52.811111,36.078068,34.859356,34.869509,36.067915,-53.174793,-53.174793,-52.444361,-52.444361,34.859356,36.078068,-53.174793,1.218712,0.730432,-52.444361,34.878179,36.059245,-53.168056,-52.454167
65328,114306,DES0257-3623,44.478701,-36.391667,44.934561,44.022842,44.027106,44.930297,-36.756034,-36.756034,-36.025584,-36.025584,44.022842,44.934561,-36.756034,0.911719,0.73045,-36.025584,44.035281,44.922122,-36.748611,-36.034722
72682,107418,DES0546-2458,86.673586,-24.969444,87.077678,86.269494,86.271886,87.075286,-25.33413,-25.33413,-24.603675,-24.603675,86.269494,87.077678,-25.33413,0.808184,0.730455,-24.603675,86.27984,87.067333,-25.326389,-24.6125
74806,124058,DES0540-5622,85.196364,-56.380556,85.862388,84.53034,84.542989,85.84974,-56.744017,-56.744017,-56.013593,-56.013593,84.53034,85.862388,-56.744017,1.332048,0.730424,-56.013593,84.551681,85.841047,-56.7375,-56.023611
67452,123489,DES0546-5457,86.556693,-54.952778,87.19853,85.914857,85.926417,87.18697,-55.316332,-55.316332,-54.585904,-54.585904,85.914857,87.19853,-55.316332,1.283673,0.730428,-54.585904,85.935111,87.178276,-55.309722,-54.595833
66397,93769,DES0247-0458,41.837243,-4.980556,42.204067,41.470419,41.470826,42.20366,-5.345683,-5.345683,-4.615225,-4.615225,41.470419,42.204067,-5.345683,0.733649,0.730458,-4.615225,41.478946,42.19554,-5.3375,-4.623611
73631,90661,DES2248-0041,342.110524,-0.697222,342.475816,341.745233,341.745289,342.475759,-1.062437,-1.062437,-0.331979,-0.331979,341.745233,342.475816,-1.062437,0.730583,0.730458,-0.331979,341.753553,342.467495,-1.054167,-0.340278
67217,111385,DES0348-3123,57.175404,-31.394444,57.604949,56.745858,56.749187,57.60162,-31.75896,-31.75896,-31.028508,-31.028508,56.745858,57.604949,-31.75896,0.859091,0.730452,-31.028508,56.757241,57.593567,-31.751389,-31.0375
66865,119900,DES2256-4706,344.21584,-47.1,344.756081,343.675599,343.68296,344.74872,-47.463968,-47.463968,-46.733527,-46.733527,343.675599,344.756081,-47.463968,1.080482,0.730441,-46.733527,343.691477,344.740202,-47.456944,-46.743056
72171,94237,DES0107-0541,16.874955,-5.694444,17.242236,16.507674,16.508141,17.24177,-6.059557,-6.059557,-5.3291,-5.3291,16.507674,17.242236,-6.059557,0.734562,0.730458,-5.3291,16.516241,17.23367,-6.051389,-5.3375
71771,115128,DES0354-3749,58.691081,-37.819444,59.155732,58.22643,58.231006,59.151156,-38.183765,-38.183765,-37.453316,-37.453316,58.22643,59.155732,-38.183765,0.929302,0.730449,-37.453316,58.239222,59.14294,-38.176389,-37.4625
61887,114687,DES0133-3706,23.310722,-37.105556,23.770899,22.850544,22.854961,23.766482,-37.4699,-37.4699,-36.73945,-36.73945,22.850544,23.770899,-37.4699,0.920355,0.730449,-36.73945,22.863157,23.758287,-37.4625,-36.748611
63846,103113,DES0124-1832,21.171026,-18.544444,21.55709,20.784963,20.78661,21.555443,-18.909282,-18.909282,-18.178826,-18.178826,20.784963,21.55709,-18.909282,0.772128,0.730456,-18.178826,20.794533,21.547519,-18.901389,-18.1875
72263,126752,DES2315-6414,348.90031,-64.233333,349.751692,348.048928,348.071119,349.729502,-64.596118,-64.596118,-63.865724,-63.865724,348.048928,349.751692,-64.596118,1.702764,0.730394,-63.865724,348.079196,349.721425,-64.590278,-63.876389
66599,117776,DES0041-4249,10.375652,-42.816667,10.876519,9.874785,9.880667,10.870637,-43.180811,-43.180811,-42.450366,-42.450366,9.874785,10.876519,-43.180811,1.001734,0.730445,-42.450366,9.889042,10.862263,-43.173611,-42.459722
70319,106957,DES0539-2415,84.913474,-24.255556,85.315227,84.511721,84.514022,85.312926,-24.620258,-24.620258,-23.889804,-23.889804,84.511721,85.315227,-24.620258,0.803506,0.730455,-23.889804,84.521968,85.30498,-24.6125,-23.898611
71792,90709,DES0105-0041,16.379728,-0.697222,16.74502,16.014437,16.014493,16.744963,-1.062437,-1.062437,-0.331979,-0.331979,16.014437,16.74502,-1.062437,0.730583,0.730458,-0.331979,16.022757,16.736699,-1.054167,-0.340278
63493,116243,DES2351-3957,357.893311,-39.961111,358.372377,357.414246,357.419337,358.367286,-40.325359,-40.325359,-39.594912,-39.594912,357.414246,358.372377,-40.325359,0.95813,0.730447,-39.594912,357.427619,358.359004,-40.318056,-39.604167
73872,111413,DES0522-3123,80.592529,-31.394444,81.022075,80.162983,80.166312,81.018746,-31.75896,-31.75896,-31.028508,-31.028508,80.162983,81.022075,-31.75896,0.859091,0.730452,-31.028508,80.174366,81.010692,-31.751389,-31.0375
62831,105508,DES0245-2206,41.374191,-22.113889,41.769452,40.978931,40.980973,41.767409,-22.478644,-22.478644,-21.748188,-21.748188,40.978931,41.769452,-22.478644,0.790521,0.730455,-21.748188,40.988904,41.759478,-22.470833,-21.756944
70086,123441,DES0147-5457,26.8848,-54.952778,27.526637,26.242963,26.254523,27.515077,-55.316332,-55.316332,-54.585904,-54.585904,26.242963,27.526637,-55.316332,1.283673,0.730428,-54.585904,26.263218,27.506382,-55.309722,-54.595833
50983,102141,DES0054-1707,13.600606,-17.116667,13.983521,13.217692,13.219192,13.982021,-17.481536,-17.481536,-16.75108,-16.75108,13.217692,13.983521,-17.481536,0.765829,0.730456,-16.75108,13.227119,13.974094,-17.473611,-16.759722
49483,86678,DES0112+0500,18.194871,5.013889,18.561305,17.828437,17.828027,18.561715,4.648558,4.648558,5.379016,5.379016,17.828027,18.561715,4.648558,0.733689,0.730458,5.379016,17.836555,18.553186,4.656944,5.370833
75855,120223,DES2131-4748,322.837735,-47.813889,323.385456,322.290014,322.297664,323.377805,-48.177824,-48.177824,-47.447385,-47.447385,322.290014,323.385456,-48.177824,1.095442,0.73044,-47.447385,322.306204,323.369265,-48.170833,-47.456944
71806,118556,DES0346-4414,56.508269,-44.244444,57.021291,55.995247,56.001578,57.01496,-44.608532,-44.608532,-43.878089,-43.878089,55.995247,57.021291,-44.608532,1.026044,0.730444,-43.878089,56.010001,57.006538,-44.601389,-43.8875
65181,116640,DES0032-4040,8.1873,-40.675,8.671524,7.703076,7.708353,8.666248,-41.039223,-41.039223,-40.308776,-40.308776,7.703076,8.671524,-41.039223,0.968448,0.730447,-40.308776,7.716657,8.657943,-41.031944,-40.318056
72878,123710,DES0009-5540,2.336455,-55.666667,2.990111,1.682799,1.694887,2.978023,-56.030175,-56.030175,-55.299749,-55.299749,1.682799,2.990111,-56.030175,1.307312,0.730426,-55.299749,1.703582,2.969328,-56.023611,-55.309722
71828,110551,DES0542-2958,85.578605,-29.966667,86.001756,85.155455,85.158554,85.998657,-30.331222,-30.331222,-29.600769,-29.600769,85.155455,86.001756,-30.331222,0.846301,0.730453,-29.600769,85.16658,85.990631,-30.323611,-29.609722
42878,86688,DES0141+0500,25.361181,5.013889,25.727616,24.994747,24.994337,25.728026,4.648558,4.648558,5.379016,5.379016,24.994337,25.728026,4.648558,0.733689,0.730458,5.379016,25.002866,25.719497,4.656944,5.370833
68764,120933,DES0018-4914,4.663938,-49.241667,5.227528,4.100348,4.108623,5.219253,-49.605535,-49.605535,-48.875097,-48.875097,4.100348,5.227528,-49.605535,1.12718,0.730438,-48.875097,4.117207,5.210669,-49.598611,-48.884722
69860,119891,DES2219-4706,334.777316,-47.1,335.317557,334.237075,334.244437,335.310196,-47.463968,-47.463968,-46.733527,-46.733527,334.237075,335.317557,-47.463968,1.080482,0.730441,-46.733527,334.252954,335.301679,-47.456944,-46.743056
66461,113930,DES0452-3540,73.190879,-35.677778,73.64257,72.739188,72.743304,73.638454,-36.042167,-36.042167,-35.311717,-35.311717,72.739188,73.64257,-36.042167,0.903382,0.73045,-35.311717,72.75146,73.630298,-36.034722,-35.320833
71823,110489,DES0217-2958,34.487429,-29.966667,34.910579,34.064279,34.067378,34.90748,-30.331222,-30.331222,-29.600769,-29.600769,34.064279,34.910579,-30.331222,0.846301,0.730453,-29.600769,34.075403,34.899455,-30.323611,-29.609722
68923,110891,DES0025-3040,6.308664,-30.680556,6.734955,5.882373,5.885585,6.731742,-31.045091,-31.045091,-30.314639,-30.314639,5.882373,6.734955,-31.045091,0.852582,0.730453,-30.314639,5.893624,6.723703,-31.0375,-30.323611
76354,122477,DES2022-5248,305.707711,-52.811111,306.317067,305.098355,305.108508,306.306914,-53.174793,-53.174793,-52.444361,-52.444361,305.098355,306.317067,-53.174793,1.218712,0.730432,-52.444361,305.117178,306.298244,-53.168056,-52.454167
66390,91742,DES0211-0207,32.872727,-2.125,33.238301,32.507152,32.507325,33.238128,-2.490186,-2.490186,-1.759728,-1.759728,32.507152,33.238301,-2.490186,0.731148,0.730458,-1.759728,32.515537,33.229917,-2.481944,-1.768056
